Timestamp,Throttle,Pitch,Yaw,Roll,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_dps,Gy_dps,Gz_dps
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
2433,,,,,,,, # System startup - Hand Controller initialized
16893,,,,,,,, # Flight started - Loop timestamp zero point set
49,131,128,131,131,131,0,0.04790,-0.00479,10.02316,-0.68702,-0.25954,-0.40458
170,131,128,131,131,131,0,0.03114,-0.03593,9.99681,-0.60305,-0.05344,-0.38168
290,131,128,131,131,131,0,0.04072,0.04072,9.99442,-0.63359,-0.06870,-0.32824
411,131,128,131,131,131,0,0.01916,0.01437,9.99681,-0.67939,-0.06870,-0.39695
531,131,128,131,131,131,0,0.00958,-0.02874,9.99681,-0.79389,-0.24427,-0.36641
652,131,128,131,131,131,0,0.03114,0.00240,9.99681,-0.71756,-0.33588,-0.28244
772,131,128,131,131,131,0,0.04790,-0.01677,10.00639,-0.64122,-0.16031,-0.34351
893,131,128,131,131,131,0,0.04790,0.00958,10.01837,-0.74046,-0.03053,-0.27481
1014,131,128,131,131,131,0,0.01437,-0.01677,10.01597,-0.70229,-0.29008,-0.39695
1134,131,128,131,131,131,0,0.03832,-0.00240,10.00400,-0.69466,-0.04580,-0.41221
1255,131,128,131,131,131,0,0.04072,-0.00479,9.99681,-0.64885,-0.09160,-0.24427
1375,131,128,131,131,131,0,0.05269,0.02395,9.98244,-0.69466,-0.11450,-0.46565
1496,131,128,131,131,131,0,0.02874,0.02156,10.00639,-0.62595,-0.14504,-0.35878
1616,131,128,131,131,131,0,0.03353,-0.00240,9.99202,-0.64885,-0.10687,-0.29771
1737,131,128,131,131,131,0,0.04072,-0.02156,10.01358,-0.74809,-0.12214,-0.23664
1857,131,128,131,131,131,0,0.02874,-0.00240,9.98963,-0.74046,-0.11450,-0.40458
1978,131,128,131,131,131,0,0.05269,0.00958,10.00160,-0.76336,-0.21374,-0.29008
2098,131,128,131,131,131,0,0.05030,-0.00958,9.98963,-0.71756,-0.12977,-0.32824
2219,131,128,131,131,131,0,0.01916,0.03114,10.03034,-0.81679,-0.14504,-0.48092
2340,131,128,131,131,131,0,0.04311,-0.00479,10.00160,-0.64122,-0.28244,-0.38168
2460,131,128,131,131,131,0,0.00240,0.00719,9.98723,-0.86260,-0.08397,-0.23664
2581,131,128,131,131,131,0,0.05269,0.00000,10.01118,-0.71756,-0.33588,-0.25954
2701,131,128,131,131,131,0,0.03114,0.01198,10.01358,-0.69466,-0.05344,-0.32824
2822,131,128,131,131,131,0,0.02635,0.01198,9.98484,-0.72519,-0.15267,-0.23664
2942,131,128,131,131,131,0,0.03114,0.00000,10.02316,-0.80153,-0.15267,-0.35115
3063,131,128,131,131,131,0,0.06227,0.02395,10.00160,-0.64885,-0.15267,-0.20611
3183,131,128,131,131,131,0,0.05509,0.00000,9.98963,-0.68702,-0.15267,-0.35878
3304,131,128,131,131,131,0,0.03593,-0.00479,10.02076,-0.77863,-0.16031,-0.23664
3424,131,128,131,131,131,0,0.03593,0.00479,10.02555,-0.72519,-0.11450,-0.30534
3545,131,128,131,131,131,0,0.01916,-0.00479,9.99681,-0.70229,-0.16031,-0.36641
3665,131,128,131,131,131,0,0.03353,0.02635,10.00879,-0.88550,-0.10687,-0.51145
3786,131,128,131,131,131,0,0.05269,0.03114,10.00160,-0.67939,-0.03053,-0.27481
3907,131,128,131,131,131,0,0.03832,0.00479,9.97286,-0.77099,-0.08397,-0.39695
4027,131,128,131,131,131,0,0.02874,0.00479,9.99921,-0.63359,-0.14504,-0.25954
4148,131,128,131,131,131,0,0.03832,0.00240,9.98723,-0.64885,-0.12214,-0.34351
4268,131,128,131,131,131,0,0.04072,0.01198,9.97526,-0.77863,-0.02290,-0.41985
4389,131,128,131,131,131,0,0.02635,-0.01437,9.97765,-0.62595,-0.15267,-0.29771
4509,131,128,131,131,131,0,0.05748,0.01916,9.99442,-0.73282,-0.10687,-0.29008
4630,131,128,131,131,131,0,0.03593,0.01916,10.00160,-0.56489,-0.09924,-0.38168
4750,131,128,131,131,131,0,0.03593,0.01916,10.00879,-0.63359,-0.03053,-0.25954
4871,131,128,131,131,131,0,0.05030,0.01437,10.00639,-0.70992,-0.12977,-0.45038
4991,131,128,131,131,131,0,0.01677,0.00958,9.97765,-0.76336,-0.04580,-0.38168
5112,131,128,131,131,131,0,0.04072,0.00719,9.97047,-0.64885,-0.23664,-0.28244
5232,131,128,131,131,131,0,0.05509,0.01916,10.00400,-0.64885,-0.08397,-0.32061
5353,131,128,131,131,131,0,0.05988,0.00719,10.01358,-0.78626,-0.18321,-0.43511
5474,131,128,131,131,131,0,0.03114,0.01677,9.99681,-0.69466,-0.06107,-0.43511
5594,131,128,131,131,131,0,0.05030,0.00240,10.00160,-0.70992,-0.22901,-0.21374
5715,131,128,131,131,131,0,0.00240,0.01437,10.00639,-0.60305,-0.16794,-0.32061
5835,131,128,131,131,131,0,0.05988,0.00000,10.00400,-0.63359,-0.20611,-0.31298
5956,131,128,131,131,131,0,0.03353,-0.01916,10.00639,-0.67939,-0.00763,-0.29008
6076,131,128,131,131,131,0,0.01916,0.00479,10.01358,-0.67176,-0.11450,-0.27481
6197,131,128,131,131,131,0,0.03593,0.01437,9.98963,-0.66412,-0.20611,-0.33588
6317,131,128,131,131,131,0,0.01677,-0.01198,10.00160,-0.70229,-0.06870,-0.34351
6438,131,128,131,131,131,0,0.04790,0.00000,9.98005,-0.66412,-0.17557,-0.38168
6558,131,128,131,131,131,0,0.02635,-0.01198,10.02076,-0.77863,-0.22901,-0.33588
6679,131,128,131,131,131,0,0.03353,0.00719,9.99681,-0.76336,-0.24427,-0.26718
6800,131,128,131,131,131,0,0.03114,-0.00719,10.01358,-0.75573,-0.15267,-0.32824
6920,131,128,131,131,131,0,0.06467,0.02395,9.99442,-0.78626,-0.17557,-0.39695
7041,131,128,131,131,131,0,0.04790,0.02874,10.00400,-0.74809,-0.09924,-0.35878
7161,131,128,131,131,131,0,0.03593,-0.01677,9.98244,-0.59542,-0.06870,-0.30534
7282,131,128,131,131,131,0,0.02395,-0.00240,10.01358,-0.60305,-0.04580,-0.28244
7402,131,128,131,131,131,0,0.04072,-0.01916,10.01118,-0.64885,0.02290,-0.25954
7523,131,128,131,131,131,0,0.04551,-0.00719,10.00879,-0.66412,0.07634,-0.31298
7643,131,128,131,131,131,0,0.03593,0.01916,10.01118,-0.63359,-0.19847,-0.29008
7764,131,128,131,131,131,0,0.01677,-0.00479,9.98484,-0.74046,-0.03053,-0.25954
7884,131,128,131,131,131,0,0.03353,-0.00240,10.00400,-0.66412,-0.32824,-0.22901
8005,131,128,131,131,131,0,0.05509,-0.01198,9.98484,-0.61832,-0.06870,-0.39695
8125,131,128,131,131,131,0,0.04790,-0.02395,10.01358,-0.83969,-0.09924,-0.38931
8246,131,128,131,131,131,0,0.01437,0.00958,9.99442,-0.70992,-0.12977,-0.22901
8367,131,128,131,131,131,0,0.04551,0.01198,9.98723,-0.71756,-0.18321,-0.25954
8487,131,128,131,131,131,0,0.01677,0.00000,10.00400,-0.80916,-0.06107,-0.33588
8608,131,128,131,131,131,0,0.02395,0.00000,9.97047,-0.87023,-0.02290,-0.31298
8728,131,128,131,131,131,0,0.02874,0.00240,10.02316,-0.83206,-0.26718,-0.42748
8849,131,128,131,131,131,0,0.00000,0.03114,10.00879,-0.74046,-0.07634,-0.22137
8969,131,128,131,131,131,0,0.03593,-0.01677,9.99681,-0.72519,-0.22137,-0.25954
9090,131,128,131,131,131,0,0.05269,0.01916,9.98484,-0.67939,-0.03053,-0.32061
9210,131,128,131,131,131,0,0.03832,-0.02395,9.99681,-0.63359,-0.15267,-0.32061
9331,131,128,131,131,131,0,0.04311,0.00958,10.00160,-0.55725,-0.17557,-0.36641
9451,131,128,131,131,131,0,0.05748,0.01437,10.01118,-0.61832,-0.22137,-0.31298
9572,131,128,131,131,131,0,0.00479,0.00719,9.98963,-0.78626,-0.25191,-0.25191
9692,131,128,131,131,131,0,0.06946,-0.00719,10.01597,-0.72519,-0.32061,-0.41221
9813,131,128,131,131,131,0,0.03353,-0.01677,10.01118,-0.76336,-0.21374,-0.47328
9934,131,128,131,131,131,0,0.06227,0.02635,9.99921,-0.69466,-0.12214,-0.28244
10054,131,128,131,131,131,0,0.04551,-0.01198,10.01358,-0.82443,-0.17557,-0.25954
10175,131,128,131,131,131,0,0.05509,-0.00958,9.98723,-0.74809,-0.11450,-0.46565
10295,131,128,131,131,131,0,0.01198,0.01198,9.98723,-0.82443,-0.22137,-0.34351
10416,131,128,131,131,131,0,0.07664,0.01677,10.00160,-0.77099,-0.19084,-0.36641
10536,131,128,131,131,131,0,0.00958,-0.02395,10.01837,-0.55725,-0.19084,-0.25191
10657,131,128,131,131,131,0,0.01198,-0.02395,10.01837,-0.83206,-0.29771,-0.35878
10777,131,128,131,131,131,0,0.03353,-0.01198,10.02316,-0.72519,-0.22137,-0.39695
10898,131,128,131,131,131,0,0.04072,0.03832,10.03753,-0.87023,-0.06107,-0.26718
11018,131,128,131,131,131,0,0.04072,-0.00958,9.99442,-0.67939,-0.21374,-0.29771
11139,131,128,131,131,131,0,0.02395,0.01916,10.02076,-0.66412,-0.08397,-0.41221
11259,131,128,131,131,131,0,0.05509,-0.01437,9.99202,-0.62595,-0.19847,-0.29008
11380,131,128,131,131,131,0,0.05269,-0.03114,10.00639,-0.64885,-0.12977,-0.29771
11501,131,128,131,131,131,0,0.03832,0.00000,9.99921,-0.81679,-0.17557,-0.52672
11621,131,128,131,131,131,0,0.00479,-0.02156,9.99681,-0.69466,-0.20611,-0.31298
11742,131,128,131,131,131,0,0.04551,-0.00479,10.00160,-0.73282,-0.03817,-0.32824
11862,131,128,131,131,131,0,0.04072,-0.00479,10.00400,-0.70992,-0.17557,-0.37405
11983,131,128,131,131,131,0,0.01677,0.02156,10.02316,-0.77099,-0.09924,-0.44275
12103,131,128,131,131,131,0,0.03593,-0.01198,9.99681,-0.73282,-0.06870,-0.29771
12224,131,128,131,131,131,0,0.02874,0.00719,9.98723,-0.80153,-0.14504,-0.36641
12344,131,128,131,131,131,0,0.04311,-0.00479,10.01358,-0.67939,-0.21374,-0.45038
12465,131,128,131,131,131,0,0.05269,0.00958,9.99921,-0.68702,-0.16031,-0.22137
12585,131,128,131,131,131,0,0.03353,0.01677,9.98963,-0.69466,-0.34351,-0.40458
12706,131,128,131,131,131,0,0.01916,-0.00479,9.99681,-0.71756,-0.09160,-0.33588
12827,131,128,131,131,131,0,0.03832,-0.01437,10.01597,-0.79389,-0.28244,-0.28244
12947,131,128,131,131,131,0,0.03114,-0.00719,10.03992,-0.64122,-0.07634,-0.29771
13068,131,128,131,131,131,0,0.02874,-0.00240,9.99921,-0.76336,-0.18321,-0.29771
13188,131,128,131,131,131,0,0.04072,0.00958,9.99921,-0.61832,-0.17557,-0.35115
13309,131,128,131,131,131,0,0.07185,0.00719,9.98963,-0.86260,-0.25191,-0.16794
13429,131,128,131,131,131,0,0.02156,0.00000,10.02316,-0.66412,-0.06107,-0.44275
13550,131,128,131,131,131,0,0.00958,0.00958,10.01597,-0.67176,-0.25191,-0.50382
13670,131,128,131,131,131,0,0.01916,0.02395,10.00879,-0.56489,-0.12214,-0.34351
13791,131,128,131,131,131,0,0.02156,0.00479,9.98005,-0.69466,-0.17557,-0.36641
13911,131,128,131,131,131,0,0.03353,-0.01198,10.00400,-0.65649,-0.09160,-0.30534
14032,131,128,131,131,131,0,0.05269,-0.00479,9.98963,-0.77099,-0.21374,-0.44275
14152,131,128,131,131,131,0,0.02874,-0.00958,10.00639,-0.72519,-0.15267,-0.23664
14273,131,128,131,131,131,0,0.00958,-0.00958,10.01358,-0.78626,-0.25191,-0.26718
14394,131,128,131,131,131,0,0.04311,0.00240,10.01118,-0.66412,0.07634,-0.29008
14514,131,128,131,131,131,0,-0.00719,-0.01437,10.00400,-0.71756,-0.09924,-0.21374
14635,131,128,131,131,131,0,0.02395,0.01437,10.00879,-0.64122,-0.23664,-0.32824
14755,131,128,131,131,131,0,0.04311,0.02635,10.00160,-0.67939,-0.17557,-0.34351
14876,131,128,131,131,131,0,0.03353,-0.00719,10.01358,-0.78626,-0.09924,-0.37405
14996,131,128,131,131,131,0,0.02395,0.00479,10.00400,-0.70229,-0.16031,-0.30534
15117,131,128,131,131,131,0,0.00719,0.01198,10.00400,-0.73282,-0.13740,-0.34351
15237,131,128,131,131,131,0,0.05988,0.00240,10.01597,-0.67176,-0.11450,-0.37405
15358,131,128,131,131,131,0,0.06227,-0.01916,10.00160,-0.64122,-0.22901,-0.32061
15478,131,128,131,131,131,0,0.05269,0.01198,10.00879,-0.66412,-0.12977,-0.34351
15599,131,128,131,131,131,0,0.04072,0.01916,9.99921,-0.50382,-0.22901,-0.31298
15719,131,128,131,131,131,0,0.02156,0.00000,10.02795,-0.58779,-0.22901,-0.22901
15840,131,128,131,131,131,0,0.05988,0.01198,10.00879,-0.71756,-0.09924,-0.42748
15961,131,128,131,131,131,0,0.03114,-0.00479,10.00400,-0.73282,-0.17557,-0.35878
16081,131,128,131,131,131,0,0.00719,-0.00240,10.00160,-0.64885,-0.19084,-0.38168
16202,131,128,131,131,131,0,0.03353,0.00240,10.02316,-0.80153,-0.14504,-0.41985
