Timestamp,Throttle,Roll,Pitch,Yaw,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_rps,Gy_rps,Gz_rps,Ref_Roll,Ref_Pitch,Ref_YawRate
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
2336,,,,,,,, # System startup - Hand Controller initialized
20051,,,,,,,, # Flight started - Loop timestamp zero point set
0,49,0.00,0.00,0.00,255,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-5.00000,0.00000,0.00000
10,49,0.00,0.00,0.00,255,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-5.00000,0.00000,0.00000
20,49,0.06,-0.10,0.00,255,0,-0.10299,0.14610,10.04471,-0.01119,-0.01346,-0.00653,-5.00000,0.00000,0.00000
30,49,-0.05,-0.11,-0.00,255,0,-0.11257,0.12215,10.03992,-0.01039,-0.01119,-0.00560,-5.00000,0.00000,0.00000
40,49,0.05,-0.06,0.00,255,0,-0.11975,0.10778,10.03274,-0.00919,-0.01466,-0.00786,-5.00000,0.00000,0.00000
50,49,-0.06,-0.09,-0.00,255,0,-0.11496,0.12933,10.01358,-0.01186,-0.01346,-0.00440,-5.00000,0.00000,0.00000
60,49,-0.15,-0.01,-0.00,255,0,-0.11496,0.06227,10.05429,-0.01026,-0.01066,-0.00666,-5.00000,0.00000,0.00000
70,49,-0.05,-0.07,-0.00,255,0,-0.12215,0.11736,10.04950,-0.01119,-0.01053,-0.00773,-5.00000,0.00000,0.00000
80,49,-0.15,-0.02,-0.00,255,0,-0.11496,0.11017,10.04471,-0.00879,-0.00999,-0.00653,-5.00000,0.00000,0.00000
90,49,-0.05,-0.07,0.00,255,0,-0.10299,0.14610,10.03753,-0.01092,-0.00853,-0.00693,-5.00000,0.00000,0.00000
100,49,-0.04,0.05,-0.00,255,0,-0.14610,0.13891,10.03753,-0.00893,-0.01159,-0.00506,-5.00000,0.00000,0.00000
110,49,-0.06,-0.07,-0.00,255,0,-0.12694,0.12215,10.03274,-0.01013,-0.00946,-0.00586,-5.00000,0.00000,0.00000
120,49,0.01,0.03,-0.00,255,0,-0.13412,0.16047,10.05190,-0.00973,-0.00933,-0.00813,-5.00000,0.00000,0.00000
130,49,-0.05,0.13,0.00,255,0,-0.15089,0.14131,10.03513,-0.01039,-0.00893,-0.00666,-5.00000,0.00000,0.00000
140,50,0.02,0.04,0.00,255,0,-0.13891,0.14370,10.02316,-0.01146,-0.00853,-0.00786,-5.00000,0.00000,0.00000
150,50,0.13,0.08,0.00,255,0,-0.12933,0.16047,10.03513,-0.01172,-0.01053,-0.00719,-5.00000,0.00000,0.00000
160,50,0.04,0.01,0.00,255,0,-0.09101,0.13412,10.03274,-0.01066,-0.01092,-0.00640,-5.00000,0.00000,0.00000
170,50,-0.03,0.10,0.00,255,0,-0.13652,0.13891,10.02316,-0.00959,-0.00973,-0.00506,-5.00000,0.00000,0.00000
180,50,0.06,0.03,0.00,255,0,-0.11975,0.17244,10.02316,-0.00919,-0.01306,-0.00626,-5.00000,0.00000,0.00000
190,50,0.15,0.10,0.00,255,0,-0.14849,0.15089,10.03753,-0.00986,-0.01026,-0.00866,-5.00000,0.00000,0.00000
200,50,0.08,0.01,0.00,255,0,-0.12454,0.16765,10.03992,-0.01079,-0.01159,-0.00533,-5.00000,0.00000,0.00000
210,50,0.03,0.11,0.00,255,0,-0.14131,0.11257,10.04950,-0.00986,-0.01039,-0.00466,-5.00000,0.00000,0.00000
220,49,0.12,0.03,-0.00,255,0,-0.16047,0.14370,10.04232,-0.01053,-0.01186,-0.00386,-5.00000,0.00000,0.00000
230,49,0.00,0.04,-0.00,255,0,-0.09341,0.11496,10.03274,-0.00986,-0.01079,-0.00560,-5.00000,0.00000,0.00000
240,49,0.09,0.11,-0.00,255,0,-0.14370,0.13412,10.03034,-0.01066,-0.01346,-0.00493,-5.00000,0.00000,0.00000
250,49,0.00,0.04,-0.00,255,0,-0.13173,0.13652,10.04232,-0.00999,-0.01226,-0.00773,-5.00000,0.00000,0.00000
260,49,-0.10,0.10,-0.00,255,0,-0.12215,0.11017,10.04711,-0.01226,-0.00973,-0.00613,-5.00000,0.00000,0.00000
270,49,-0.06,-0.01,-0.00,255,0,-0.09101,0.08383,10.03274,-0.00813,-0.01106,-0.00653,-5.00000,0.00000,0.00000
280,49,0.05,-0.00,-0.00,255,0,-0.11257,0.13891,10.00400,-0.01026,-0.01106,-0.00813,-5.00000,0.00000,0.00000
290,49,-0.06,-0.00,-0.00,255,0,-0.12694,0.12454,10.01358,-0.00999,-0.01226,-0.00573,-5.00000,0.00000,0.00000
300,50,0.05,-0.00,-0.00,255,0,-0.12215,0.15807,10.03753,-0.00853,-0.01252,-0.00440,-5.00000,0.00000,0.00000
310,50,-0.06,0.01,-0.00,255,0,-0.12454,0.17005,10.04950,-0.01066,-0.01186,-0.00520,-5.00000,0.00000,0.00000
320,50,0.05,-0.01,-0.00,255,0,-0.11257,0.15807,10.05190,-0.00986,-0.01266,-0.00733,-5.00000,0.00000,0.00000
330,50,-0.06,-0.03,-0.00,255,0,-0.11975,0.13412,10.00160,-0.01106,-0.01146,-0.00693,-5.00000,0.00000,0.00000
340,50,0.05,0.00,-0.00,255,0,-0.13652,0.17484,10.03034,-0.01053,-0.01053,-0.00613,-5.00000,0.00000,0.00000
350,50,0.08,0.11,-0.00,255,0,-0.14131,0.12454,10.04471,-0.01013,-0.01146,-0.00533,-5.00000,0.00000,0.00000
360,50,0.07,-0.00,-0.00,255,0,-0.10299,0.15807,10.02795,-0.00959,-0.01199,-0.00333,-5.00000,0.00000,0.00000
370,50,0.00,0.09,-0.00,255,0,-0.14370,0.12694,10.01358,-0.01319,-0.01132,-0.00560,-5.00000,0.00000,0.00000
380,50,0.09,0.02,-0.00,255,0,-0.15807,0.12694,10.03753,-0.00986,-0.01119,-0.00693,-5.00000,0.00000,0.00000
390,50,-0.02,0.06,-0.01,255,0,-0.12215,0.11017,10.03513,-0.01079,-0.01039,-0.00573,-5.00000,0.00000,0.00000
400,50,-0.04,-0.05,-0.01,255,0,-0.12215,0.11736,10.03034,-0.01132,-0.01412,-0.00719,-5.00000,0.00000,0.00000
410,50,-0.04,0.06,-0.01,255,0,-0.13173,0.11496,10.07585,-0.01039,-0.01212,-0.00613,-5.00000,0.00000,0.00000
420,50,-0.01,-0.05,-0.01,255,0,-0.06946,0.14370,10.03753,-0.00813,-0.01013,-0.00586,-5.00000,0.00000,0.00000
430,50,0.07,0.03,-0.01,255,0,-0.11257,0.15568,10.02795,-0.01066,-0.01146,-0.00346,-5.00000,0.00000,0.00000
440,50,-0.03,-0.01,-0.01,255,0,-0.13891,0.11736,10.04471,-0.01079,-0.01346,-0.00480,-5.00000,0.00000,0.00000
450,50,0.03,0.08,-0.01,255,0,-0.14131,0.13173,10.02316,-0.00959,-0.01279,-0.00653,-5.00000,0.00000,0.00000
460,49,-0.04,-0.01,-0.01,255,0,-0.11257,0.12215,10.04950,-0.00959,-0.00933,-0.00533,-5.00000,0.00000,0.00000
470,49,0.07,-0.07,-0.01,255,0,-0.09101,0.14849,10.04711,-0.01199,-0.01039,-0.00533,-5.00000,0.00000,0.00000
480,49,-0.03,-0.00,-0.01,255,0,-0.12454,0.13173,10.03274,-0.01212,-0.01026,-0.00786,-5.00000,0.00000,0.00000
490,49,0.08,-0.01,-0.01,255,0,-0.12933,0.15568,10.03034,-0.01079,-0.01266,-0.00626,-5.00000,0.00000,0.00000
500,49,-0.03,-0.03,-0.01,255,0,-0.10778,0.13173,10.02555,-0.01119,-0.01092,-0.00733,-5.00000,0.00000,0.00000
510,49,0.07,0.02,-0.01,255,0,-0.13412,0.14610,10.03034,-0.01186,-0.01053,-0.00666,-5.00000,0.00000,0.00000
520,49,-0.04,0.00,-0.01,255,0,-0.13412,0.14849,10.02795,-0.01079,-0.00653,-0.00600,-5.00000,0.00000,0.00000
530,49,0.07,0.03,-0.01,255,0,-0.13173,0.14610,10.03753,-0.00853,-0.01279,-0.00546,-5.00000,0.00000,0.00000
540,50,-0.04,0.04,-0.01,255,0,-0.13412,0.12933,10.02555,-0.01146,-0.01119,-0.00426,-5.00000,0.00000,0.00000
550,50,0.05,-0.03,-0.01,255,0,-0.09341,0.13412,10.03753,-0.01066,-0.01053,-0.00600,-5.00000,0.00000,0.00000
560,50,-0.06,-0.00,-0.01,255,0,-0.11975,0.09341,10.04232,-0.00919,-0.01066,-0.00506,-5.00000,0.00000,0.00000
570,50,-0.02,-0.11,-0.01,255,0,-0.11257,0.10538,10.02076,-0.00973,-0.01013,-0.00733,-5.00000,0.00000,0.00000
580,50,-0.06,-0.00,-0.01,255,0,-0.13173,0.11496,10.03034,-0.01119,-0.01199,-0.00493,-5.00000,0.00000,0.00000
590,50,-0.10,0.11,-0.01,255,0,-0.16047,0.11017,10.05190,-0.00959,-0.01026,-0.00693,-5.00000,0.00000,0.00000
600,50,-0.06,-0.00,-0.01,255,0,-0.12215,0.12454,10.04232,-0.01292,-0.01106,-0.00466,-5.00000,0.00000,0.00000
610,50,-0.17,0.04,-0.01,255,0,-0.11017,0.09580,10.06148,-0.01013,-0.00973,-0.00666,-5.00000,0.00000,0.00000
620,49,-0.06,0.02,-0.01,255,0,-0.13891,0.09101,10.04471,-0.00959,-0.00986,-0.00546,-5.00000,0.00000,0.00000
630,49,-0.17,0.05,-0.01,255,0,-0.13173,0.12454,10.05429,-0.00986,-0.00866,-0.00613,-5.00000,0.00000,0.00000
640,49,-0.05,0.06,-0.01,255,0,-0.14370,0.15328,10.03274,-0.01066,-0.00933,-0.00586,-5.00000,0.00000,0.00000
650,49,-0.13,-0.03,-0.01,255,0,-0.10538,0.11496,10.01118,-0.00933,-0.00986,-0.00693,-5.00000,0.00000,0.00000
660,49,-0.03,0.04,-0.01,255,0,-0.12454,0.14131,10.02076,-0.01266,-0.01079,-0.00480,-5.00000,0.00000,0.00000
670,49,-0.02,-0.07,-0.01,255,0,-0.11736,0.14370,10.03513,-0.01039,-0.01066,-0.00586,-5.00000,0.00000,0.00000
680,49,0.00,0.04,-0.01,255,0,-0.11017,0.14849,10.02555,-0.01079,-0.01013,-0.00493,-5.00000,0.00000,0.00000
690,49,-0.05,-0.06,-0.01,255,0,-0.10538,0.11257,10.02316,-0.00919,-0.01186,-0.00813,-5.00000,0.00000,0.00000
700,50,0.02,0.02,-0.01,255,0,-0.12933,0.14849,10.04232,-0.00986,-0.01359,-0.00693,-5.00000,0.00000,0.00000
710,50,0.03,-0.09,-0.01,255,0,-0.11736,0.15807,10.03034,-0.00919,-0.01199,-0.00600,-5.00000,0.00000,0.00000
720,50,0.02,0.02,-0.01,255,0,-0.13652,0.13652,10.02076,-0.01159,-0.01079,-0.00666,-5.00000,0.00000,0.00000
730,50,-0.03,0.13,-0.01,255,0,-0.15328,0.12933,10.04471,-0.01026,-0.01239,-0.00613,-5.00000,0.00000,0.00000
740,50,-0.02,0.01,-0.01,255,0,-0.13891,0.10538,10.02795,-0.00906,-0.00853,-0.00693,-5.00000,0.00000,0.00000
750,50,0.08,0.06,-0.01,255,0,-0.10538,0.15089,10.02555,-0.01159,-0.01039,-0.00839,-5.00000,0.00000,0.00000
760,50,-0.03,0.03,-0.01,255,0,-0.12933,0.11017,10.03034,-0.01266,-0.01506,-0.00839,-5.00000,0.00000,0.00000
770,50,0.03,-0.07,-0.01,255,0,-0.10059,0.14370,10.04232,-0.00999,-0.01306,-0.00653,-5.00000,0.00000,0.00000
780,49,0.01,0.04,-0.01,255,0,-0.11017,0.15568,10.01358,-0.01079,-0.00866,-0.00813,-5.00000,0.00000,0.00000
790,49,-0.01,-0.07,-0.01,255,0,-0.12215,0.12215,10.04471,-0.01066,-0.01119,-0.00746,-5.00000,0.00000,0.00000
800,49,-0.07,0.02,-0.01,255,0,-0.11257,0.09580,10.04950,-0.00813,-0.01279,-0.00906,-5.00000,0.00000,0.00000
810,49,-0.03,-0.09,-0.01,255,0,-0.07904,0.13173,10.04232,-0.01132,-0.01172,-0.00640,-5.00000,0.00000,0.00000
820,49,0.01,0.02,-0.01,255,0,-0.10538,0.13891,10.01837,-0.01212,-0.01159,-0.00733,-5.00000,0.00000,0.00000
830,49,0.00,-0.09,-0.01,255,0,-0.10059,0.15328,10.03034,-0.01092,-0.01212,-0.00546,-5.00000,0.00000,0.00000
840,49,-0.10,-0.04,-0.01,255,0,-0.11496,0.09820,10.05190,-0.01039,-0.01159,-0.00653,-5.00000,0.00000,0.00000
850,49,-0.02,-0.12,-0.01,255,0,-0.09341,0.11736,10.02316,-0.01212,-0.01186,-0.00733,-5.00000,0.00000,0.00000
860,49,-0.06,-0.02,-0.01,255,0,-0.10059,0.14370,10.00879,-0.00986,-0.01132,-0.00666,-5.00000,0.00000,0.00000
870,49,0.01,-0.11,-0.01,255,0,-0.11496,0.14849,10.03274,-0.01252,-0.01146,-0.00560,-5.00000,0.00000,0.00000
880,49,-0.08,-0.04,-0.01,255,0,-0.10778,0.12215,10.03274,-0.01119,-0.00946,-0.00600,-5.00000,0.00000,0.00000
890,49,0.01,-0.10,-0.01,255,0,-0.10778,0.13173,10.03753,-0.01079,-0.00959,-0.00586,-5.00000,0.00000,0.00000
900,49,0.04,0.01,-0.01,255,0,-0.11736,0.16047,10.03274,-0.01172,-0.01346,-0.00560,-5.00000,0.00000,0.00000
