Timestamp,Throttle,Roll,Pitch,Yaw,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_rps,Gy_rps,Gz_rps,Ref_Roll,Ref_Pitch,Ref_YawRate
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
2338,,,,,,,, # System startup - Hand Controller initialized
20174,,,,,,,, # Flight started - Loop timestamp zero point set
0,0,0.00,0.00,0.00,255,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,0,0.00,0.00,0.00,255,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,0,0.08,0.08,-0.01,255,0,0.06227,0.23950,10.01358,-0.01079,-0.02518,0.00933,0.00000,0.00000,0.00000
30,0,0.01,-0.02,-0.02,255,0,0.08143,0.23471,10.03034,-0.00879,-0.02491,0.01026,0.00000,0.00000,0.00000
40,0,0.10,0.05,-0.03,255,0,0.05509,0.28022,10.05429,-0.01239,-0.02625,0.01159,0.00000,0.00000,0.00000
50,0,0.00,-0.01,-0.03,255,0,0.07185,0.23471,10.02316,-0.01159,-0.02625,0.00893,0.00000,0.00000,0.00000
60,0,0.11,0.03,-0.04,255,0,0.08383,0.23232,9.99442,-0.01119,-0.02571,0.01159,0.00000,0.00000,0.00000
70,0,0.01,0.06,-0.05,255,0,0.04311,0.24669,10.02076,-0.01292,-0.02745,0.01013,0.00000,0.00000,0.00000
80,0,0.08,-0.03,-0.06,255,0,0.11496,0.24429,10.02316,-0.01053,-0.02518,0.00813,0.00000,0.00000,0.00000
90,0,-0.03,-0.00,-0.07,255,0,0.07904,0.22753,10.03753,-0.00813,-0.02758,0.00879,0.00000,0.00000,0.00000
100,0,0.09,-0.00,-0.08,255,0,0.05509,0.24429,10.03513,-0.01372,-0.02705,0.01106,0.00000,0.00000,0.00000
110,0,-0.03,-0.02,-0.08,255,0,0.07664,0.24669,10.03034,-0.01119,-0.02585,0.00893,0.00000,0.00000,0.00000
120,0,0.09,-0.03,-0.09,255,0,0.08383,0.22274,10.03274,-0.01013,-0.02611,0.01026,0.00000,0.00000,0.00000
130,0,-0.02,0.00,-0.10,255,0,0.06706,0.23232,10.04471,-0.00973,-0.02878,0.01226,0.00000,0.00000,0.00000
140,0,0.08,-0.05,-0.11,255,0,0.08862,0.24190,10.05669,-0.01399,-0.02558,0.01279,0.00000,0.00000,0.00000
150,0,-0.01,0.00,-0.12,255,0,0.07425,0.23711,10.03753,-0.01119,-0.02691,0.01092,0.00000,0.00000,0.00000
160,0,0.06,-0.09,-0.13,255,0,0.09580,0.22992,10.04950,-0.01159,-0.02971,0.01053,0.00000,0.00000,0.00000
170,0,-0.04,-0.04,-0.14,255,0,0.09101,0.21555,10.03992,-0.01279,-0.02531,0.00999,0.00000,0.00000,0.00000
180,0,0.05,-0.12,-0.15,255,0,0.10299,0.23711,10.02555,-0.01306,-0.02958,0.00999,0.00000,0.00000,0.00000
190,0,-0.02,-0.04,-0.16,255,0,0.08862,0.24190,10.03034,-0.01106,-0.02678,0.01039,0.00000,0.00000,0.00000
200,0,0.05,-0.13,-0.17,255,0,0.07664,0.22513,10.04232,-0.01212,-0.02358,0.01039,0.00000,0.00000,0.00000
210,0,0.05,-0.02,-0.18,255,0,0.10059,0.26824,10.03274,-0.01159,-0.02691,0.01292,0.00000,0.00000,0.00000
220,0,0.10,-0.13,-0.18,255,0,0.08862,0.27303,10.02076,-0.01132,-0.02758,0.01053,0.00000,0.00000,0.00000
230,0,-0.00,-0.10,-0.19,255,0,0.11496,0.25387,10.02555,-0.01266,-0.02625,0.00893,0.00000,0.00000,0.00000
240,0,0.11,-0.12,-0.20,255,0,0.08622,0.28022,10.00879,-0.01399,-0.02638,0.01026,0.00000,0.00000,0.00000
250,0,0.19,-0.21,-0.21,255,0,0.12215,0.25866,10.06148,-0.01306,-0.02611,0.01119,0.00000,0.00000,0.00000
260,0,0.10,-0.14,-0.22,255,0,0.07904,0.22753,10.04711,-0.01466,-0.02811,0.01239,0.00000,0.00000,0.00000
270,0,0.16,-0.04,-0.23,255,0,0.06946,0.26106,10.04950,-0.01226,-0.02265,0.01066,0.00000,0.00000,0.00000
280,0,0.10,-0.14,-0.24,255,0,0.12215,0.23232,10.04232,-0.01279,-0.02505,0.00959,0.00000,0.00000,0.00000
290,0,0.19,-0.07,-0.25,255,0,0.08862,0.25866,10.03513,-0.01545,-0.02625,0.01079,0.00000,0.00000,0.00000
300,0,0.08,-0.13,-0.26,255,0,0.07904,0.23471,10.01597,-0.01532,-0.02372,0.01399,0.00000,0.00000,0.00000
310,0,0.18,-0.08,-0.27,255,0,0.09341,0.24908,10.01358,-0.01466,-0.02425,0.01332,0.00000,0.00000,0.00000
320,0,0.08,-0.14,-0.28,255,0,0.09820,0.25387,10.03034,-0.01292,-0.02398,0.01226,0.00000,0.00000,0.00000
330,0,0.20,-0.13,-0.29,255,0,0.10299,0.25627,10.02316,-0.01386,-0.02598,0.01172,0.00000,0.00000,0.00000
340,0,0.09,-0.17,-0.30,255,0,0.11257,0.24429,10.03034,-0.01279,-0.02398,0.01279,0.00000,0.00000,0.00000
350,0,-0.02,-0.12,-0.31,255,0,0.10299,0.22513,10.03034,-0.01519,-0.02278,0.01132,0.00000,0.00000,0.00000
360,0,0.08,-0.19,-0.32,255,0,0.11975,0.24669,10.02316,-0.01532,-0.02212,0.01266,0.00000,0.00000,0.00000
370,0,0.01,-0.10,-0.33,255,0,0.08622,0.22753,10.03992,-0.01359,-0.02425,0.01159,0.00000,0.00000,0.00000
380,0,0.10,-0.17,-0.33,255,0,0.07425,0.23711,10.03513,-0.01399,-0.02425,0.01013,0.00000,0.00000,0.00000
390,0,0.00,-0.11,-0.34,255,0,0.08862,0.22753,10.02316,-0.01572,-0.02265,0.00959,0.00000,0.00000,0.00000
400,0,0.11,-0.16,-0.35,255,0,0.09101,0.24669,10.00639,-0.01306,-0.02185,0.01132,0.00000,0.00000,0.00000
410,0,-0.01,-0.15,-0.36,255,0,0.11496,0.23711,10.04471,-0.01252,-0.02038,0.01039,0.00000,0.00000,0.00000
420,0,0.11,-0.17,-0.37,255,0,0.10538,0.24190,10.01118,-0.01625,-0.02078,0.01092,0.00000,0.00000,0.00000
430,0,-0.01,-0.16,-0.38,255,0,0.10059,0.23950,10.03513,-0.01346,-0.02078,0.01146,0.00000,0.00000,0.00000
440,0,0.10,-0.18,-0.39,255,0,0.10059,0.23950,10.01837,-0.01545,-0.02118,0.01026,0.00000,0.00000,0.00000
450,0,-0.00,-0.13,-0.40,255,0,0.08862,0.23950,10.06866,-0.01492,-0.02012,0.01066,0.00000,0.00000,0.00000
460,0,0.11,-0.13,-0.41,255,0,0.07904,0.24908,10.04950,-0.01452,-0.02198,0.00973,0.00000,0.00000,0.00000
470,0,-0.00,-0.14,-0.42,255,0,0.09820,0.23950,10.06148,-0.01466,-0.01759,0.01026,0.00000,0.00000,0.00000
480,0,0.11,-0.15,-0.42,255,0,0.10059,0.23950,10.03513,-0.01545,-0.02065,0.00919,0.00000,0.00000,0.00000
490,0,-0.01,-0.12,-0.43,255,0,0.09101,0.25387,10.03992,-0.01705,-0.01879,0.01266,0.00000,0.00000,0.00000
500,0,0.10,-0.17,-0.44,255,0,0.10778,0.23950,10.07345,-0.01386,-0.01825,0.00826,0.00000,0.00000,0.00000
510,0,-0.02,-0.16,-0.45,255,0,0.10778,0.23471,10.00639,-0.01452,-0.01705,0.00959,0.00000,0.00000,0.00000
520,0,0.10,-0.18,-0.46,255,0,0.10299,0.23232,10.02795,-0.01452,-0.01825,0.00933,0.00000,0.00000,0.00000
530,0,-0.00,-0.11,-0.47,255,0,0.06467,0.21555,10.03034,-0.01559,-0.01506,0.01119,0.00000,0.00000,0.00000
540,0,0.07,-0.20,-0.48,255,0,0.10059,0.23232,10.04711,-0.01332,-0.01772,0.01119,0.00000,0.00000,0.00000
550,0,0.01,-0.10,-0.48,255,0,0.09820,0.25148,10.00400,-0.01599,-0.01625,0.00866,0.00000,0.00000,0.00000
560,0,0.10,-0.17,-0.49,255,0,0.08383,0.24669,10.03034,-0.01372,-0.01639,0.01106,0.00000,0.00000,0.00000
570,0,0.00,-0.11,-0.50,255,0,0.09820,0.22992,10.03753,-0.01665,-0.01599,0.01159,0.00000,0.00000,0.00000
580,0,0.10,-0.17,-0.51,255,0,0.10059,0.24429,10.04471,-0.01479,-0.01532,0.01079,0.00000,0.00000,0.00000
590,0,0.00,-0.11,-0.52,255,0,0.09341,0.24190,10.00879,-0.01639,-0.01426,0.00933,0.00000,0.00000,0.00000
600,0,0.11,-0.15,-0.53,255,0,0.08622,0.24190,10.03753,-0.01399,-0.01559,0.00866,0.00000,0.00000,0.00000
610,0,0.02,-0.07,-0.54,255,0,0.09101,0.26106,10.00639,-0.01452,-0.01319,0.00919,0.00000,0.00000,0.00000
620,0,0.11,-0.14,-0.54,255,0,0.09101,0.25148,10.04471,-0.01532,-0.01466,0.00719,0.00000,0.00000,0.00000
630,0,0.01,-0.08,-0.55,255,0,0.08622,0.23232,10.02555,-0.01399,-0.01239,0.00839,0.00000,0.00000,0.00000
640,0,0.09,-0.15,-0.56,255,0,0.10059,0.23950,10.02316,-0.01372,-0.01266,0.01053,0.00000,0.00000,0.00000
650,0,-0.02,-0.19,-0.57,255,0,0.12694,0.23232,10.03513,-0.01439,-0.01172,0.00826,0.00000,0.00000,0.00000
660,0,0.10,-0.18,-0.58,255,0,0.11736,0.21555,10.04711,-0.01572,-0.01226,0.00879,0.00000,0.00000,0.00000
670,0,-0.02,-0.18,-0.58,255,0,0.10059,0.21795,10.04711,-0.01372,-0.01306,0.00653,0.00000,0.00000,0.00000
680,0,0.09,-0.22,-0.59,255,0,0.11496,0.24908,10.03034,-0.01466,-0.01292,0.00799,0.00000,0.00000,0.00000
690,0,-0.02,-0.18,-0.60,255,0,0.09580,0.21316,10.04232,-0.01439,-0.01079,0.00759,0.00000,0.00000,0.00000
700,0,0.09,-0.19,-0.61,255,0,0.09820,0.23471,10.01597,-0.01319,-0.01159,0.00773,0.00000,0.00000,0.00000
710,0,-0.02,-0.22,-0.61,255,0,0.12933,0.25866,10.03992,-0.01372,-0.00946,0.00799,0.00000,0.00000,0.00000
720,0,0.09,-0.18,-0.62,255,0,0.10299,0.22992,10.03513,-0.01532,-0.00813,0.00560,0.00000,0.00000,0.00000
730,0,-0.03,-0.18,-0.63,255,0,0.08862,0.22034,10.01358,-0.01452,-0.00706,0.00959,0.00000,0.00000,0.00000
740,0,0.08,-0.14,-0.63,255,0,0.08862,0.23711,10.01837,-0.01372,-0.00906,0.00719,0.00000,0.00000,0.00000
750,0,-0.02,-0.20,-0.64,255,0,0.11975,0.22753,10.05908,-0.01492,-0.01013,0.00466,0.00000,0.00000,0.00000
760,0,0.09,-0.17,-0.65,255,0,0.10538,0.24669,10.04471,-0.01452,-0.00653,0.00813,0.00000,0.00000,0.00000
770,0,-0.01,-0.20,-0.66,255,0,0.10778,0.23471,10.03034,-0.01585,-0.00546,0.00613,0.00000,0.00000,0.00000
780,0,0.09,-0.15,-0.66,255,0,0.10059,0.22992,10.01118,-0.01306,-0.00653,0.00640,0.00000,0.00000,0.00000
790,0,-0.02,-0.17,-0.67,255,0,0.08862,0.22274,10.04232,-0.01292,-0.00626,0.00453,0.00000,0.00000,0.00000
800,0,0.08,-0.21,-0.67,255,0,0.11496,0.24908,10.05669,-0.01466,-0.00640,0.00520,0.00000,0.00000,0.00000
810,0,-0.02,-0.15,-0.68,255,0,0.09101,0.22513,10.05190,-0.01479,-0.00453,0.00626,0.00000,0.00000,0.00000
820,0,0.08,-0.20,-0.69,255,0,0.10538,0.24190,10.03274,-0.01199,-0.00573,0.00666,0.00000,0.00000,0.00000
830,0,0.00,-0.11,-0.69,255,0,0.06946,0.23471,10.03274,-0.01466,-0.00693,0.00773,0.00000,0.00000,0.00000
840,0,0.05,-0.21,-0.70,255,0,0.12933,0.24429,10.04471,-0.01585,-0.00453,0.00440,0.00000,0.00000,0.00000
850,0,-0.06,-0.16,-0.71,255,0,0.11496,0.21795,10.03753,-0.01332,-0.00266,0.00879,0.00000,0.00000,0.00000
860,0,0.03,-0.22,-0.71,255,0,0.11975,0.23232,10.03513,-0.01519,-0.00466,0.00386,0.00000,0.00000,0.00000
870,0,-0.08,-0.24,-0.72,255,0,0.12454,0.20837,10.03513,-0.01132,-0.00160,0.00560,0.00000,0.00000,0.00000
880,0,0.02,-0.27,-0.72,255,0,0.14131,0.23471,10.02795,-0.01252,-0.00240,0.00533,0.00000,0.00000,0.00000
890,0,-0.08,-0.21,-0.73,255,0,0.10059,0.21555,10.04471,-0.01372,-0.00213,0.00640,0.00000,0.00000,0.00000
900,0,0.03,-0.24,-0.74,255,0,0.09820,0.22274,10.01837,-0.00973,0.00107,0.00346,0.00000,0.00000,0.00000
910,0,-0.07,-0.17,-0.74,255,0,0.10299,0.24908,10.03753,-0.01146,-0.00226,0.00413,0.00000,0.00000,0.00000
920,0,0.02,-0.24,-0.75,255,0,0.13412,0.24669,10.03753,-0.01332,0.00226,0.00560,0.00000,0.00000,0.00000
930,0,-0.01,-0.12,-0.75,255,0,0.08143,0.22992,10.01837,-0.01332,0.00067,0.00453,0.00000,0.00000,0.00000
